state,year,population,violent_total,murder,rape,robbery,aggravated_assault,property_total,burglary,larceny ,vehicle_theft,unemployment
MT,1989,806000,116,2.9,18,17,78.2,3881.5,691.7,2964.3,225.6,5.792
MT,1990,799065,159.3,4.9,24.4,21.7,108.4,4342.8,709.1,3391.2,242.5,5.958
MT,1991,808000,139.9,2.6,19.8,18.6,98.9,3508.3,523.6,2778.3,206.3,6.917
MT,1992,824000,169.9,2.9,25.5,26.9,114.6,4426.2,643.9,3548.9,233.4,6.742
MT,1993,839000,177.5,3,27.9,32.4,114.2,4612.5,714.2,3652.1,246.2,6.05
MT,1994,856000,177.1,3.3,27.2,32.7,113.9,4841.7,721.7,3833.8,286.2,5.258
MT,1995,870000,171.4,4,26.6,29.1,111.7,4626,581.6,3769.8,274.6,5.65
MT,1996,879000,161,3.9,27.1,29.7,100.3,4332.7,558.4,3518.5,255.7,5.308
MT,1997,879000,132.1,4.8,19.5,20.4,87.5,4276.7,569.1,3459.7,247.9,5.333
MT,1998,880000,204.2,2,26.7,26.4,149.1,4155,519.9,3402.3,232.8,5.542
MT,1999,882779,236.8,2.5,33.2,27.1,174,3296.7,439.1,2645.4,212.3,5.258
MT,2000,902195,311.1,2.2,34.1,22.5,252.3,3568.9,437.4,2957,210.2,4.958
MT,2001,905382,352,3.8,20.8,25.4,302.1,3332.8,405.4,2726.4,201.1,4.55
MT,2002,910372,351.2,1.8,26,31.1,292.3,3158.2,361.3,2601,195.9,4.417
MT,2003,918157,365,3.3,26.8,32.5,302.5,3096.2,405.4,2483.2,207.6,4.717
MT,2004,926920,293.8,3.2,29.5,25.1,235.9,2936.1,379.2,2382.3,174.6,4.767
MT,2005,934737,282,1.9,32.2,18.9,228.7,3146,389.6,2546,211,4.35
MT,2006,944632,377.3,3.5,36.8,24.7,312.3,2856.8,357.8,2292.9,206.1,3.483
MT,2007,957861,379.8,2.8,37.9,24.3,314.8,2906.2,362.9,2329.7,213.6,3.558
MT,2008,967440,311.4,4.1,37,21.1,249.2,2718.5,381.3,2153.5,183.7,5.067
MT,2009,974989,287,3.3,36.6,23.4,223.7,2546.3,378.1,2002.9,165.3,6.842
MT,2010,990958,275.8,2.5,33.5,15.5,224.2,2564.1,372.6,2035,156.5,7.3
MT,2011,997667,276.1,2.9,36.7,17.1,219.4,2394.1,335.5,1913.4,145.2,6.958
MT,2012,1005494,278.8,2.9,39,20.1,216.8,2595.9,389.9,2037.2,168.9,5.992
MT,2013,1014864,288.1,2.3,37.6,21.4,218.5,2581.1,406.2,1989.6,185.3,5.417
MT,2014,1023579,323.7,3.6,42,19.8,247.4,2472.9,351.2,1922.1,199.6,4.675
NE,1976,1553000,210.5,2.9,20.5,63,124.1,3351.4,684.2,2433.7,233.5,3.225
NE,1977,1561000,199.4,3.9,18.1,64.7,112.7,3325.2,760,2316.1,249.1,3.45
NE,1978,1565000,190.5,3,18.3,64.9,104.4,3250.7,746.8,2287.2,216.8,3.15
NE,1979,1574000,225.9,4.1,21.5,73.5,126.8,3767.2,813.5,2680.7,272.9,3.042
NE,1980,1563921,224.6,4.4,23.2,82.2,114.7,4080.6,915.4,2921.6,243.6,3.933
NE,1981,1576000,181.5,3.1,20.5,70.7,87.2,3996,912.6,2875.9,207.5,4.233
NE,1982,1586000,229.6,2,20.7,61.9,145,3721.2,811.3,2732.1,177.9,5.642
NE,1983,1597000,217.7,2.6,21.2,49.8,144,3569.9,777,2631.6,161.4,5.567
NE,1984,1606000,225.8,3.4,23.7,43.2,155.6,3270.6,643.8,2482.9,144,4.475
NE,1985,1606000,237.9,2.9,23.4,48.5,163.1,3456.7,730.4,2570.2,156,5.183
NE,1986,1598000,262.6,3.1,24.6,51.1,183.7,3593.1,748.2,2677.3,167.6,5.025
NE,1987,1594000,251.2,3.5,21.6,47.1,179,3880.4,847.9,2866.5,165.9,4.417
NE,1988,1601000,273.2,3.6,24,56.1,189.4,3866.8,765.2,2912.8,188.8,3.592
NE,1989,1611000,279.5,2.5,23.6,52,201.4,3812.1,745.5,2880.4,186.2,2.942
NE,1990,1578385,330,2.7,30,51.1,246.2,3883.1,723.8,2981.1,178.2,2.35
NE,1991,1593000,334.6,3.3,28.1,54,249.2,4019.5,726.6,3080.4,212.6,2.667
NE,1992,1606000,348.6,4.2,31.4,56.7,256.2,3975.5,714.6,3060,200.8,2.875
NE,1993,1607000,377.8,3.9,27.8,62.4,283.6,3903.2,663.5,2912.9,326.8,2.775
NE,1994,1623000,389.5,3.1,30.8,75.4,280.2,4050.9,675.5,2991.2,384.2,2.65
NE,1995,1637000,382,2.9,19.4,65.2,294.5,4162.5,631.9,3179.2,351.4,2.65
NE,1996,1652000,434.7,2.9,27.1,63.7,341.1,4001.8,614.5,3045.7,342,2.733
NE,1997,1657000,438.4,3,24.5,66.2,344.7,3845.3,592.2,2918.7,334.4,2.492
NE,1998,1663000,451.4,3.1,25.1,77.6,345.7,3953.8,634,2971.7,348,2.558
NE,1999,1666028,430.2,3.6,24.8,75.9,325.9,3678,609.7,2741.8,326.5,2.8
NE,2000,1711263,327.6,3.7,25.5,67,231.4,3767.9,592,2870.3,305.6,2.825
NE,2001,1720039,303.1,2.5,25.1,65.6,210,4009.4,567.4,3064.6,377.3,3.117
NE,2002,1727564,314.2,2.8,26.9,78.7,205.9,3946.5,597.9,2977.6,371,3.65
NE,2003,1737475,293.8,3.2,29,67.1,194.5,3751.9,583.2,2815.8,352.9,3.942
NE,2004,1747704,308.6,2.3,35.5,65.1,205.7,3519.6,562.2,2654.9,302.5,3.858
NE,2005,1758163,287,2.5,33,59.2,192.6,3432,535.1,2580,317,3.8
NE,2006,1768331,293.9,2.9,32.6,64.2,194.1,3359.7,539.2,2528.4,292.1,3.125
NE,2007,1774571,311.3,4,31,62.8,213.5,3142.4,509.1,2337.7,295.6,2.992
NE,2008,1783432,312.3,3.9,33.7,72.7,202,2879.3,489.6,2152.8,236.9,3.333
NE,2009,1796619,289.4,2.3,34.3,67.9,184.8,2768,485.7,2087,195.3,4.625
NE,2010,1830141,278.3,3,36.8,55.7,182.8,2667.9,454.5,2016,197.4,4.642
NE,2011,1842234,253.6,3.7,37.9,53.9,158.1,2762.6,473.6,2066,223,4.417
NE,2012,1855350,258.8,2.8,38.3,60.8,157,2759.7,471.3,2064.4,224.1,4.008
NE,2013,1868969,264.8,3,33.2,55.4,161.1,2632.3,478.6,1915,238.7,3.767
NE,2014,1881503,280.4,2.9,33,55.4,176.2,2523.5,422.5,1864.1,236.8,3.275
NV,1976,610000,691,11.5,47.2,294.9,337.4,7615.1,2392.5,4717.4,505.2,8.792
NV,1977,633000,743,15.8,49.1,323.1,355,7225,2453.1,4212.6,559.2,6.725
NV,1978,660000,780.8,15.5,53.9,359.5,351.8,7506.1,2659.2,4245.2,601.7,4.458
NV,1979,702000,835.6,17.5,59.5,407.5,351,7996,2820.4,4471.2,704.4,4.942
NV,1980,800312,912.6,20,67.2,460.6,364.9,7941.4,2906.7,4356.3,678.4,6.158
NV,1981,845000,896.4,17.5,64.9,458,356.1,7695.5,2727.3,4373.4,594.8,7.192
NV,1982,881000,805.4,13.6,61.5,419.6,310.7,7095.6,2412.7,4117.9,564.9,9.875
NV,1983,891000,655.2,12.8,51.3,307.2,284,6046.1,2011.4,3563.3,471.4,9.592
NV,1984,911000,628.5,10.8,60.7,279,278,5932.5,1978.4,3458.6,495.5,7.892
NV,1985,936000,667.1,10.3,60.3,274.9,321.7,5907.5,1849.6,3561.5,496.4,7.717
NV,1986,963000,718.9,12.6,64.9,286.9,354.5,5570.8,1603.9,3489.2,477.7,6.192
NV,1987,1007000,695.7,8.4,61.8,272.5,353,5675.7,1629.4,3491.3,555,6.067
NV,1988,1060000,780.7,10.5,73.8,291.2,405.2,5672.5,1544.9,3528.4,599.2,5.225
NV,1989,1111000,625.3,8.2,59.6,250.6,306.9,5646.4,1404.8,3662.1,579.6,4.742
NV,1990,1201833,600.9,9.7,62.2,238.3,290.7,5462.7,1367.4,3502.7,592.5,4.717
NV,1991,1284000,677,11.8,66,312.5,286.7,5621.7,1403.9,3565.5,652.3,5.817
NV,1992,1327000,696.8,10.9,62.8,331.3,291.8,5506.9,1289.2,3520.3,697.4,6.65
NV,1993,1389000,875.2,10.4,60.9,340.1,463.9,5304.9,1245,3321.6,738.3,6.85
NV,1994,1457000,1001.9,11.7,68.7,352.4,569.1,5675.6,1354.5,3561.6,759.4,6.175
NV,1995,1530000,945.2,10.7,61.2,324.6,548.7,5634.2,1322.5,3566.2,745.4,5.567
NV,1996,1603000,811.3,13.7,53.4,307.6,436.6,5180.7,1220.1,3262.3,698.3,5.033
NV,1997,1677000,798.7,11.2,59.9,302.4,425.3,5265.8,1310.4,3167.1,788.3,4.4
NV,1998,1747000,643.6,9.7,52.1,254.9,326.8,4636.9,1137.6,2711.3,788,4.225
NV,1999,1809253,569.9,9.1,52.1,232.6,276,4083.1,973.5,2385.9,723.7,3.983
NV,2000,1998257,524.2,6.5,43,227.3,247.3,3744.4,877.1,2208.2,659.2,4.167
NV,2001,2097722,589.2,8.6,42.1,235.1,303.4,3693.8,844.3,2148.7,700.9,5.183
NV,2002,2167455,639.3,8.4,42.8,236.1,352,3870.7,874.3,2189.6,806.8,5.633
NV,2003,2242207,616,8.8,38.8,233,335.4,4287.2,979.3,2378.1,929.8,5.083
NV,2004,2332898,616.4,7.4,40.9,210.3,357.8,4210,992,2247.8,970.3,4.3
NV,2005,2412301,608,8.5,42.1,194.9,361.9,4246,973.4,2156,1116,4.092
NV,2006,2495529,748.8,9.1,43.8,282,414,4100.9,997.9,2020.8,1082.2,4.05
NV,2007,2565382,754.9,7.5,42.7,270.4,434.2,3785.7,971,1942.9,871.7,4.492
NV,2008,2600167,729.7,6.3,42.5,249.4,431.4,3461.5,932.8,1915.8,613,6.708
NV,2009,2643085,705.2,5.9,38.7,228.1,432.5,3063.7,836.7,1757.9,469.1,11.3
NV,2010,2704283,663,5.8,35.7,195.9,425.5,2773.5,824.1,1572.8,376.6,13.525
NV,2011,2720028,568.1,5.1,33.6,158.4,371,2576.3,747.9,1476.3,352.1,13.033
NV,2012,2754354,608.6,4.5,33.8,178.6,391.7,2814.1,803.1,1647.3,363.7,11.167
NV,2013,2791494,605,5.8,39,185.7,360.4,2836.4,825.6,1652.6,358.2,9.625
NV,2014,2839099,635.6,6,35,209.7,372.1,2625.4,772.3,1494.3,358.7,7.925
NH,1976,822000,86.3,3.3,9.7,24.8,48.4,3525.1,937.5,2335.3,252.3,6.525
NH,1977,849000,113.1,3.2,10.7,23.2,76,3679,1041.7,2343.9,293.4,5.458
NH,1978,871000,118.8,1.4,9.4,26.3,81.7,3948.7,1159.7,2483.4,305.6,3.825
NH,1979,887000,139.9,2.4,17.1,28.6,91.8,4438.9,1199,2915,324.9,3.208
NH,1980,919114,179.8,2.5,17.3,42,118,4499.8,1312.9,2877,309.9,4.525
NH,1981,935000,147.1,2.9,16.5,35.8,91.9,4174.8,1186.1,2747.8,240.9,5.167
NH,1982,951000,124.8,2.2,16.2,33.9,72.6,3704.4,945,2535.8,223.7,6.792
NH,1983,959000,125.1,2,19.5,24.1,79.6,3231.2,821.9,2227.2,182.1,5.517
NH,1984,977000,133.9,1,20.7,23.2,88.9,3003.8,735.9,2079.2,188.6,4.292
NH,1985,998000,140.8,2.1,19.1,26.7,92.9,3111.1,762.3,2150.2,198.6,3.725
NH,1986,1027000,139.5,2.2,21.5,23.6,92.2,3190.6,755,2207.9,227.7,2.792
NH,1987,1057000,149.6,3,26.6,26.5,93.5,3222.1,694.8,2310.9,216.5,2.317
NH,1988,1097000,147.9,2.3,25.2,21.1,99.4,3186.1,682.7,2275.7,227.7,2.4
NH,1989,1107000,168.5,3.3,29.5,23.8,111.8,3427.7,736.9,2446.9,244,3.467
NH,1990,1109252,131.5,1.9,34.8,27.2,67.6,3513.7,735.5,2534.2,244,5.658
NH,1991,1105000,119.3,3.6,29.9,33,52.8,3328.5,735.4,2372.9,220.3,7.3
NH,1992,1111000,125.7,1.6,38.2,33,52.9,2954.8,621.9,2138.1,194.9,7.283
NH,1993,1125000,137.8,2,44.4,27.3,64.1,2767.2,515.1,2058,194,6.15
NH,1994,1137000,116.8,1.4,35.8,27.1,52.5,2624.2,463.9,1957.8,202.5,4.733
NH,1995,1148000,114.5,1.8,29,27.4,56.3,2540.9,418.6,1977.2,145.1,3.975
NH,1996,1162000,118.2,1.7,34.8,27.3,54.4,2705.3,435.7,2118,151.6,3.825
NH,1997,1173000,113.2,1.4,33.7,23.4,54.8,2526.4,393.2,1997.4,135.8,3.325
NH,1998,1185000,107.2,1.5,33.8,21.5,50.4,2312.7,325.1,1863.2,124.4,2.825
NH,1999,1201134,96.5,1.5,28.7,21.4,44.9,2185.2,307.9,1764.6,112.7,2.708
NH,2000,1235786,175.4,1.8,42.2,36.7,94.7,2257.8,404,1680,173.8,2.658
NH,2001,1259359,170.2,1.3,36.4,35.3,97.2,2151,388.2,1592.9,169.9,3.442
NH,2002,1274405,161.3,0.9,35,32.4,93,2059.8,379.6,1527.6,152.5,4.467
NH,2003,1288705,150.3,1.3,34,37.2,77.8,2052.9,356.1,1546.8,150,4.308
NH,2004,1299169,169.5,1.3,35.9,38.5,93.8,2051.9,383.2,1518.1,150.6,3.767
NH,2005,1306819,135,1.5,31.1,27.9,74.3,1839,320.8,1415,103,3.558
NH,2006,1314895,138.8,1,22.4,33.1,79.2,1981.9,334.2,1534.6,113,3.425
NH,2007,1315828,144.1,0.9,27.1,34.3,81.8,2005.9,385.6,1513,107.2,3.525
NH,2008,1315809,156.1,1.1,29.3,32,93.8,2157.4,324.2,1726.2,106.9,3.85
NH,2009,1324575,160.4,0.8,30.1,34.3,95.2,2173.5,371.1,1717.4,85.1,6.225
NH,2010,1316807,167.4,1,31.2,34.2,101,2219.8,413.4,1730.6,75.7,5.833
NH,2011,1317807,217.3,1.2,44.1,38.6,133.4,2485.6,473.8,1927.3,84.5,5.392
NH,2012,1321617,215,1.1,36.8,35.6,141.4,2426.9,453.1,1893.4,80.4,5.5
NH,2013,1322616,223.2,1.6,39.5,48.9,113.9,2213.6,376.5,1765.8,71.4,5.092
NH,2014,1326813,196.1,0.9,34.5,40.5,110,1962.7,313.7,1584.4,64.6,4.275
NJ,1976,7336000,396.8,5.2,19.9,200.3,171.4,5003.7,1504.2,2988.9,510.7,10.4
NJ,1977,7329000,392,5.6,21,180.4,185.1,4721.8,1435.8,2774.5,511.5,9.367
NJ,1978,7327000,423.5,5.4,23.6,192.6,201.9,4783.7,1456.3,2766.8,560.6,7.258
NJ,1979,7332000,501.2,6.6,27.8,250,216.8,5319.4,1601.5,3021.7,696.2,6.925
NJ,1980,7342164,604.4,6.9,30.7,303.7,263,5797,1878.2,3189.3,729.5,7.183
NJ,1981,7401000,630.6,7.3,32.1,334.6,256.7,5549.2,1733.2,3132.6,683.3,7.45
NJ,1982,7438000,607.4,6.5,28.9,307.6,264.4,5068.8,1430.7,3011.3,626.8,8.742
NJ,1983,7468000,553.1,5.3,30.3,269,248.4,4610.3,1237.2,2768.9,604.3,8.033
NJ,1984,7515000,527.7,5.3,32.5,242.4,247.4,4327.8,1062.8,2690.4,574.6,6.192
NJ,1985,7562000,544.5,5.4,32.1,255,252,4549.9,1056.9,2828.7,664.3,5.625
NJ,1986,7620000,572.5,5.2,33.2,268.7,265.4,4668.8,1070.8,2822.5,775.5,5.017
NJ,1987,7672000,541,4.6,33.4,232.8,270.3,4720.5,1008.8,2866.3,845.4,4.092
NJ,1988,7720000,582.8,5.3,33.7,245.2,298.6,4712.5,980.2,2837.9,894.4,3.817
NJ,1989,7736000,609,5.1,31.7,273.3,299,4660.4,976.6,2764.7,919.2,4.1
NJ,1990,7730188,647.6,5.6,29.8,301,311.1,4799.7,1017.2,2843,939.5,5.058
NJ,1991,7760000,634.8,5.2,29.1,293.1,307.3,4796.5,1015.7,2854.9,925.9,6.7
NJ,1992,7789000,625.8,5.1,30.7,285.2,304.8,4438.5,969.4,2653.6,815.6,8.358
NJ,1993,7879000,626.9,5.3,28.1,296,297.5,4174,974,2486.1,714,7.6
NJ,1994,7904000,614.2,5,24.9,288,296.2,4046.8,911.9,2474.9,660,6.825
NJ,1995,7945000,599.8,5.1,24.3,283,287.4,4103.9,875.2,2597.1,631.6,6.408
NJ,1996,7988000,531.5,4.2,24.7,235.8,266.7,3801.4,791.9,2428.2,581.3,6.15
NJ,1997,8053000,492.6,4.2,21.5,210.6,256.4,3564.4,756.2,2297,511.2,5.258
NJ,1998,8115000,440.2,4,20,186.2,230,3213.9,671.1,2109.3,433.6,4.592
NJ,1999,8143412,411.9,3.5,17.3,174.9,216.1,2988.1,577.1,1976.8,434.2,4.517
NJ,2000,8414350,383.8,3.4,16.1,161.1,203.2,2776.6,522,1848.8,405.9,3.7
NJ,2001,8511116,388.8,3.9,15,165.8,204.1,2826.3,550,1833.3,443,4.258
NJ,2002,8575252,376.1,4,15.9,162.7,193.5,2655.5,511.9,1726.6,417,5.775
NJ,2003,8642412,364.3,4.7,14.9,154.4,190.4,2549.6,502.8,1646.4,400.4,5.833
NJ,2004,8685166,356.3,4.5,15.3,150.6,185.9,2433,472.4,1611.7,348.9,4.842
NJ,2005,8703150,355,4.8,13.9,151.8,184.7,2337,447.9,1571,318,4.492
NJ,2006,8724560,350.2,4.9,13.8,153.1,178.4,2278.9,451.4,1543.8,283.7,4.717
NJ,2007,8685920,328.6,4.4,11.9,144.7,167.7,2214.4,428.7,1532.9,252.8,4.292
NJ,2008,8682661,326.5,4.3,12.9,146.3,163,2293.4,465.3,1595.7,232.4,5.333
NJ,2009,8707739,311.4,3.7,12,133.7,162.1,2075.8,424.3,1473.4,178,9.058
NJ,2010,8799593,307.5,4.2,11.1,134.3,157.8,2080.1,440.2,1463.2,176.8,9.517
NJ,2011,8834773,307.9,4.3,11.4,138.2,154,2147.4,489.4,1460.9,197.1,9.35
NJ,2012,8867749,290.1,4.4,11.7,128.4,145.7,2046.5,477.4,1383.2,185.9,9.342
NJ,2013,8911502,288.9,4.5,9.7,135.6,135.5,1881.1,402.7,1324.2,154.3,8.225
NJ,2014,8938175,261.2,3.9,10.7,117.5,125.6,1734.1,354.8,1248.3,131,6.767
NM,1976,1168000,554.4,9.7,41,124.7,378.9,5660.6,1679.5,3651.5,329.5,8.858
NM,1977,1190000,500.9,8.8,39.1,109.6,343.4,4686.7,1418.7,3008.6,259.5,7.642
NM,1978,1212000,528.2,10.2,42.7,111.6,363.8,4652.1,1335.6,3002.7,313.8,5.933
NM,1979,1241000,586,12.4,46.9,121,405.6,5202.5,1481.5,3363.8,357.2,6.383
NM,1980,1295474,615,13.1,43.3,127.9,430.7,5364.1,1492.5,3521,350.6,7.567
NM,1981,1327000,671.7,11.4,47.3,140.8,472.2,5528.9,1613,3560.8,355.1,7.292
NM,1982,1359000,734.5,11.6,48.3,126.2,548.4,5873.1,1628.8,3929.5,314.9,9.217
NM,1983,1399000,686.8,8.9,48,114,515.9,5659.4,1559.2,3793.9,306.3,9.683
NM,1984,1424000,688.1,9.1,55,130.3,493.6,5555.3,1639.7,3595.2,320.5,7.825
NM,1985,1450000,703.9,10.9,49.8,138.1,505.1,5782.3,1753.9,3682.6,345.7,8.333
NM,1986,1479000,725.6,11.5,46.9,129.5,537.7,5900.3,1844.7,3712.4,343.3,9.317
NM,1987,1500000,628.5,10.1,43.1,108.3,466.9,5918.3,1787.7,3785.1,345.5,8.725
NM,1988,1510000,658.1,11.5,38.4,103.1,505.2,5948.1,1836.9,3721.3,389.9,7.492
NM,1989,1528000,703.9,8.6,45.9,105.2,544.1,5870,1711.1,3809,349.9,6.708
NM,1990,1515069,780.2,9.2,49.7,115.1,606.2,5903.9,1738.7,3828.5,336.7,6.567
NM,1991,1548000,834.8,10.5,52.4,120.3,651.6,5844.6,1723,3775.3,346.3,7.133
NM,1992,1581000,934.9,8.9,62.6,139.3,724.1,5499.2,1511.4,3609.9,377.9,7.183
NM,1993,1616000,929.7,8,52.1,138.4,731.1,5336.4,1421.2,3510.1,405.1,6.975
NM,1994,1654000,889.2,10.7,52.4,140.8,685.4,5298.5,1326.8,3466.9,504.8,6.483
NM,1995,1685000,819.2,8.8,56.6,154.5,599.3,5608.8,1447.1,3648.5,513.2,6.567
NM,1996,1713000,840.6,11.5,63.5,162.4,603.2,5761.7,1376.9,3802.6,582.2,7.2
NM,1997,1730000,853.3,7.7,50.4,171.4,623.7,6053.2,1452.4,3883.7,717.2,6.317
NM,1998,1737000,961.4,10.9,55.1,163.4,732,5757.7,1394,3743.9,619.9,6.067
NM,1999,1739844,834.6,9.8,54.3,148.2,622.3,5128,1234.7,3426.3,467.1,5.575
NM,2000,1819046,757.9,7.4,50.7,137.4,562.4,4761,1173.1,3184.4,403.6,4.925
NM,2001,1830935,780.4,5.4,46.4,147.2,581.3,4538.4,1067.9,3080.7,389.8,4.925
NM,2002,1852044,740.7,8.2,55.5,119.1,558,4345.3,1060.1,2883.6,401.6,5.542
NM,2003,1878562,667.3,6.2,50,103.1,507.9,4089.1,1011.3,2693.3,384.5,5.858
NM,2004,1903006,687.4,8.9,54.6,108.4,515.6,4198.4,1047,2736.1,415.2,5.5
NM,2005,1925985,646,7.5,54.1,98.3,486.5,4132,1087.2,2633,412,5.117
NM,2006,1954599,654.7,6.9,54.9,107.2,485.8,3888.3,1069.6,2346.5,472.2,4.167
NM,2007,1969915,675.7,9.3,52.2,117.9,496.3,3815.8,1057.1,2306.8,451.9,3.75
NM,2008,1984356,653.5,8.1,56.3,108.4,480.6,3815.7,1043.5,2368.3,404,4.45
NM,2009,2009671,632.4,9.9,53.2,96.1,473.2,3714,1092.5,2298,323.5,7.533
NM,2010,2065913,588,6.8,46.4,78.2,456.6,3425.9,1017.6,2154.2,254.1,8.1
NM,2011,2078674,572.7,7.6,41.2,82.7,441.1,3538.3,1030.4,2248.1,259.8,7.525
NM,2012,2083540,559.6,5.6,45.9,88.6,419.5,3604.2,1026.3,2315.6,262.2,7.133
NM,2013,2086895,622.5,5.9,54.4,87.8,453.8,3783.5,1046,2450.8,286.7,6.933
NM,2014,2085572,597.4,4.8,51.4,100,421.8,3542.3,887.3,2353.4,301.6,6.658
NY,1976,18084000,868.1,10.9,25.8,529.3,302.1,5357,1763.5,2855.2,738.2,10.233
NY,1977,17924000,831.8,10.7,29.4,472.6,319.1,5255.8,1728,2782,745.8,9.15
NY,1978,17748000,841,10.3,29.1,472.1,329.5,4951.2,1650.6,2628.6,672,7.758
NY,1979,17649000,917.4,11.9,30.6,529.6,345.3,5287.7,1746.9,2836.4,704.5,7.167
NY,1980,17506690,1029.5,12.7,30.9,641.3,344.6,5882,2061.6,3060.4,759.9,7.475
NY,1981,17594000,1069.6,12.3,31.1,684,342.1,5835.8,1991.7,3066.3,777.8,7.6
NY,1982,17659000,990.1,11.4,29.2,610.7,338.7,5478.1,1671.9,3025.3,780.8,8.475
NY,1983,17667000,914.1,11.1,30,536.5,336.5,4988.5,1410.1,2854.7,723.7,8.675
NY,1984,17735000,914.3,10.1,31.6,506.9,365.8,4662.9,1257.2,2755.1,650.6,7.167
NY,1985,17783000,929.9,9.5,32.1,504.4,383.9,4658.6,1235.1,2824.5,599.1,6.617
NY,1986,17772000,985.9,10.7,30.5,514.1,430.6,4781.8,1221.1,2923.5,637.2,6.233
NY,1987,17825000,1008.1,11.3,31.1,503.3,462.4,4944.3,1216.4,3024.8,703.1,4.892
NY,1988,17898000,1097.3,12.5,30.6,544.4,509.8,5212,1218.3,3133.8,859.9,4.275
NY,1989,17950000,1131.2,12.5,29.2,579.3,510.1,5162.1,1176.2,3033.2,952.7,4.975
NY,1990,17990455,1180.9,14.5,29.8,624.7,512,5182.8,1160.7,2979.4,1042.7,5.325
NY,1991,18058000,1163.9,14.2,28.2,622.1,499.4,5080.7,1132.5,2944.3,1003.9,7.242
NY,1992,18119000,1122.1,13.2,28.4,596.9,483.5,4736.3,1068.2,2735.8,932.3,8.608
NY,1993,18197000,1073.5,13.3,27.5,561.2,471.5,4477.8,998.6,2644.2,835,7.908
NY,1994,18169000,965.6,11.1,25.9,476.7,451.9,4105,906.2,2489.5,709.3,6.958
NY,1995,18136000,841.9,8.5,23.7,399.7,410,3718.3,808.1,2344.4,565.7,6.342
NY,1996,18185000,727,7.4,23,340,356.7,3405.3,713.9,2197,494.4,6.242
NY,1997,18137000,688.6,6,22.5,309.3,350.8,3222.4,652.3,2130.6,439.4,6.433
NY,1998,18175000,637.8,5.1,21.1,270.3,341.3,2950.7,576.7,1998.9,375.1,5.608
NY,1999,18196601,588.8,5,19.6,240.8,323.5,2690.6,512.3,1858.1,320.2,5.175
NY,2000,18976457,553.9,5,18.6,213.6,316.7,2545.7,463.4,1796.4,285.8,4.55
NY,2001,19084350,513.6,5,18.6,191.5,298.5,2399.9,421.3,1725.6,253,4.825
NY,2002,19134293,496.6,4.8,20.3,191.6,280,2310.5,400.9,1662.1,247.5,6.158
NY,2003,19212425,465.8,4.9,19.6,186.3,255,2249,392.7,1620.9,235.3,6.358
NY,2004,19280727,440.4,4.6,18.7,173.8,243.3,2192.5,366.7,1613.2,212.7,5.8
NY,2005,19315721,444,4.5,18.8,182.1,238.9,2102,352.2,1565,185,5.017
NY,2006,19306183,435.2,4.8,16.4,178.5,235.5,2064.5,355.4,1542.7,166.4,4.533
NY,2007,19297729,414.4,4.2,15.2,161.1,233.9,1987.9,336.4,1506.3,145.2,4.558
NY,2008,19490297,397.9,4.3,14.4,163.1,216.1,1993.8,336.3,1528.8,128.7,5.425
NY,2009,19541453,384.4,4,13.2,144,223.1,1932,321.2,1498.8,111.9,8.333
NY,2010,19395206,394.4,4.5,14.4,147.6,227.9,1957.8,339.5,1511.9,106.4,8.608
NY,2011,19501616,397.2,3.9,14.1,145.7,233.5,1906.7,334.5,1473.5,98.7,8.292
NY,2012,19576125,406.3,3.5,14.5,146.3,242,1917,328.9,1499.6,88.5,8.508
NY,2013,19695680,393.8,3.3,13.1,138.3,234.2,1820.7,286.6,1455.5,78.6,7.725
NY,2014,19746227,381.8,3.1,19.8,121.8,229.4,1718.2,257.2,1381.4,79.7,6.325
NC,1976,5469000,403.4,11.1,15.3,70.6,306.4,3477.8,1175.5,2124,178.3,6.258
NC,1977,5525000,407.1,10.6,17,61.3,318.3,3384,1154.1,2037.8,192.1,5.908
NC,1978,5577000,413.4,10.8,18.4,65.9,318.4,3468.7,1184,2083.4,201.3,4.483
NC,1979,5606000,446.1,10.7,20.3,77.2,337.9,3926.4,1296.6,2406.4,223.4,4.75
NC,1980,5843665,455,10.6,22.7,82.3,339.4,4185.5,1422.9,2546.4,216.1,6.392
NC,1981,5951000,436.7,9.1,22.7,80.8,324.1,4083.5,1336.7,2548.8,198.1,6.508
NC,1982,6019000,446.3,9.1,22,85.9,329.5,4096.9,1309,2603.4,184.5,9.2
NC,1983,6082000,409.6,8.1,21.9,79.6,300,3774.1,1189.5,2418.1,166.5,8.992
NC,1984,6165000,403.6,8.7,21.6,74.8,298.5,3640.5,1131.3,2330.9,178.3,6.725
NC,1985,6255000,420.9,8.3,23.8,78.2,310.6,3700.5,1150.8,2358.6,191,5.583
NC,1986,6331000,475.9,8.1,26.4,87.7,353.6,3856,1225,2422.7,208.3,5.283
NC,1987,6413000,484,8.1,29.1,93.9,352.9,4165.9,1356.1,2586,223.8,4.533
NC,1988,6526000,501.9,7.8,28.1,108.6,357.4,4360.4,1391.2,2718.8,250.4,3.642
NC,1989,6571000,546.4,8.9,29.9,133.5,374.1,4707.4,1503.5,2918.6,285.3,3.525
NC,1990,6628637,623.5,10.7,34.3,152.1,426.4,4862.3,1530.4,3048.3,283.7,4.1
NC,1991,6737000,658.4,11.4,34.6,178,434.4,5230.3,1692.3,3238.7,299.3,5.783
